Antal;dato;tidspunkt;uge;dag;kilde dato;kilde;
0;20200310;1200;-1;5;20200318;wiki_covid_dk;
0;20200311;1200;0;3;20200318;wiki_covid_dk;
1;20200313;1200;0;5;20200318;wiki_covid_dk;
2;20200315;1200;1;1;20200318;wiki_covid_dk;
4;20200316;1000;1;1;20200318;sst;
4;20200317;1000;1;2;20200318;sst;
4;20200318;1000;1;3;20200318;sst;
6;20200319;1000;1;4;20200319;sst;
9;20200320;1000;1;5;20200320;sst;
13;20200321;1200;1;6;20200321;sst2;
13;20200322;1200;1;7;20200322;sst3;
24;20200323;1444;2;1;20200323;sst3;
32;20200324;1425;2;2;20200324;sst3;
34;20200325;1520;2;3;20200325;sst3;
41;20200326;1609;2;4;20200326;sst3;
