Antal;dato;tidspunkt;uge;dag;kilde dato;kilde;
7;20200310;1200;-1;5;20200318;btlive;
10;20200311;1200;0;3;20200318;btlive;
23;20200313;1200;0;5;20200318;btlive;
28;20200315;1200;1;1;20200318;btlive;
62;20200316;1200;1;1;20200318;sst;
82;20200317;1200;1;2;20200318;sst;
129;20200318;1100;1;3;20200318;sst;
153;20200319;1200;1;4;20200319;sst;
186;20200320;1200;1;5;20200320;sst;
206;20200321;1200;1;6;20200321;sst2;
232;20200322;1200;1;7;20200322;sst3;
254;20200323;1200;2;1;20200323;sst3;
301;20200324;1230;2;2;20200324;sst3;
350;20200325;1520;2;3;20200325;sst3;
386;20200326;1258;2;4;20200326;sst3;
430;20200327;1323;2;5;20200327;sst3;
459;20200328;1315;2;6;20200328;sst3;
499;20200329;1418;2;7;20200329;sst3;
533;20200330;1345;3;1;20200330;sst3;
529;20200331;1540;3;2;20200331;sst3;
535;20200401;1305;3;3;20200401;sst3;
525;20200402;0930;3;4;20200403;sst3;
517;20200403;1522;3;5;20200403;sst3;
507;20200404;1118;3;6;20200404;sst3;
504;20200405;1525;3;7;20200404;sst3;
503;20200406;0901;41;20200407;sst3;
