Antal;dato;tidspunkt;uge;dag;kilde dato;kilde;
-1;20200310;1200;-1;5;20200318;btlive;
-1;20200311;1200;0;3;20200318;btlive;
-1;20200313;1200;0;5;20200318;btlive;
-1;20200315;1200;1;1;20200318;btlive;
10;20200316;1200;1;1;20200318;sst;
18;20200317;1200;1;2;20200318;sst;
24;20200318;0800;1;3;20200318;sst;
30;20200319;1200;1;4;20200319;sst;
37;20200320;1200;1;5;20200320;sst;
42;20200321;1200;1;6;20200321;sst2;
46;20200322;1200;1;7;20200322;sst3;
55;20200323;1200;2;1;20200323;sst3;
69;20200324;1230;2;2;20200324;sst3;
87;20200325;1520;2;3;20200325;sst3;
94;20200326;1258;2;4;20200326;sst3;
109;20200327;1323;2;5;20200327;sst3;
121;20200328;1315;2;6;20200328;sst3;
131;20200329;1418;2;7;20200329;sst3;
137;20200330;1418;3;1;20200330;sst3;
145;20200331;1540;3;2;20200331;sst3;
