Antal;dato;tidspunkt;uge;dag;kilde dato;kilde;
-1;20200310;1200;-1;5;20200318;btlive;
-1;20200311;1200;0;3;20200318;btlive;
-1;20200313;1200;0;5;20200318;btlive;
-1;20200315;1200;1;1;20200318;btlive;
-1;20200316;1200;1;1;20200318;sst;
4;20200317;1200;1;2;20200318;sst;
18;20200318;1100;1;3;20200318;sst;
27;20200319;1200;1;4;20200319;sst;
32;20200320;1200;1;5;20200320;sst;
35;20200321;1200;1;6;20200321;sst2;
40;20200322;1200;1;7;20200322;sst3;
47;20200323;1200;2;1;20200323;sst3;
58;20200324;1230;2;2;20200324;sst3;
76;20200325;1520;2;3;20200325;sst3;
78;20200326;1258;2;4;20200326;sst3;
89;20200327;1323;2;5;20200327;sst3;
104;20200328;1315;2;6;20200328;sst3;
113;20200329;1418;2;7;20200329;sst3;
119;20200330;1418;3;1;20200330;sst3;
131;20200331;1540;3;2;20200331;sst3;
129;20200401;1305;3;3;20200401;sst3;
138;20200402;0930;3;4;20200403;sst3;
116;20200403;1522;3;5;20200403;sst3;
